state,chamber,name,party_abb,twitter_handle,instagram_handle,Instagram_URL,List
North Carolina 12th District,U.S. Representative,"Adams, Alma",D,RepAdams,repadams,https://www.instagram.com/repadams,congress2022
North Carolina 13th District,U.S. Representative,"Budd, Ted",R,BuddforCongress,ted.budd,https://www.instagram.com/ted.budd,congress2022
North Dakota,U.S. Senator,"Hoeven, John",R,SenJohnHoeven,senjohnhoeven,https://www.instagram.com/senjohnhoeven,congress2022
North Dakota,U.S. Senator,"Cramer, Kevin",R,SenKevinCramer,senatorkevincramer,https://www.instagram.com/senatorkevincramer,congress2022
North Dakota At-Large,U.S. Representative,"Armstrong, Kelly",R,RepArmstrongND,reparmstrongnd,https://www.instagram.com/reparmstrongnd,congress2022
Ohio,U.S. Senator,"Portman, Rob",R,senrobportman,senrobportman,https://www.instagram.com/senrobportman,congress2022
Ohio,U.S. Senator,"Brown, Sherrod",D,SenSherrodBrown,sensherrodbrown,https://www.instagram.com/sensherrodbrown,congress2022
Ohio 1st District,U.S. Representative,"Chabot, Steve",R,RepSteveChabot,repstevechabot,https://www.instagram.com/repstevechabot,congress2022
Ohio 2nd District,U.S. Representative,"Wenstrup, Brad",R,RepBradWenstrup,repbradwenstrup,https://www.instagram.com/repbradwenstrup,congress2022
Ohio 3rd District,U.S. Representative,"Beatty, Joyce",D,RepBeatty,repbeatty,https://www.instagram.com/repbeatty,congress2022
Ohio 4th District,U.S. Representative,"Jordan, Jim",R,Jim_Jordan,,,
Ohio 5th District,U.S. Representative,"Latta, Robert E.",R,boblatta,boblatta,https://www.instagram.com/boblatta,congress2022
Ohio 6th District,U.S. Representative,"Johnson, Bill",R,RepBillJohnson,billjohnsonministries,https://www.instagram.com/billjohnsonministries,congress2022
Ohio 7th District,U.S. Representative,"Gibbs, Bob",R,RepBobGibbs,repbobgibbs,https://www.instagram.com/repbobgibbs,congress2022
Ohio 8th District,U.S. Representative,"Davidson, Warren",R,WarrenDavidson,instawarrendavidson,https://www.instagram.com/instawarrendavidson,congress2022
